qname	mapped_flag	mapped_rname	mapped_pos	mapped_mapq	mapped_cigar	mapped_rnext	mapped_pnext	mapped_tlen	mapped_organism	true_record	true_start	true_end	true_organism	correct
retli_8	4	*	0	0	*	*	0	0	*	retli_tr	114005	114026	retli	FALSE
retli_9	4	*	0	0	*	*	0	0	*	retli_tr	9768	9805	retli	FALSE
retli_10	4	*	0	0	*	*	0	0	*	retli_tr	41861	41894	retli	FALSE
retli_11	4	*	0	0	*	*	0	0	*	retli_tr	123185	123207	retli	FALSE
retli_12	4	*	0	0	*	*	0	0	*	retli_tr	113898	113918	retli	FALSE
retli_13	4	*	0	0	*	*	0	0	*	retli_tr	2951	2971	retli	FALSE
retli_14	4	*	0	0	*	*	0	0	*	retli_tr	26597	26627	retli	FALSE
retli_15	4	*	0	0	*	*	0	0	*	retli_tr	64746	64765	retli	FALSE
retli_16	4	*	0	0	*	*	0	0	*	retli_tr	10638	10657	retli	FALSE
retli_17	4	*	0	0	*	*	0	0	*	retli_tr	90041	90060	retli	FALSE
retli_18	4	*	0	0	*	*	0	0	*	retli_tr	7463	7483	retli	FALSE
retli_19	4	*	0	0	*	*	0	0	*	retli_tr	93752	93771	retli	FALSE
retli_20	4	*	0	0	*	*	0	0	*	retli_tr	15481	15528	retli	FALSE
retli_21	4	*	0	0	*	*	0	0	*	retli_tr	120748	120769	retli	FALSE
retli_22	4	*	0	0	*	*	0	0	*	retli_tr	136738	136759	retli	FALSE
retli_23	4	*	0	0	*	*	0	0	*	retli_tr	83641	83684	retli	FALSE
retli_24	4	*	0	0	*	*	0	0	*	retli_tr	142184	142209	retli	FALSE
retli_25	4	*	0	0	*	*	0	0	*	retli_tr	142293	142312	retli	FALSE
retli_26	4	*	0	0	*	*	0	0	*	retli_tr	52922	52957	retli	FALSE
retli_27	4	*	0	0	*	*	0	0	*	retli_tr	75861	75886	retli	FALSE
retli_28	4	*	0	0	*	*	0	0	*	retli_tr	143539	143558	retli	FALSE
retli_29	4	*	0	0	*	*	0	0	*	retli_tr	91663	91687	retli	FALSE
retli_30	4	*	0	0	*	*	0	0	*	retli_tr	36765	36784	retli	FALSE
retli_31	4	*	0	0	*	*	0	0	*	retli_tr	78720	78740	retli	FALSE
retli_32	4	*	0	0	*	*	0	0	*	retli_tr	116027	116050	retli	FALSE
retli_33	4	*	0	0	*	*	0	0	*	retli_tr	27502	27521	retli	FALSE
retli_34	4	*	0	0	*	*	0	0	*	retli_tr	98977	98997	retli	FALSE
retli_35	4	*	0	0	*	*	0	0	*	retli_tr	90311	90331	retli	FALSE
retli_36	4	*	0	0	*	*	0	0	*	retli_tr	36339	36362	retli	FALSE
retli_37	4	*	0	0	*	*	0	0	*	retli_tr	132721	132740	retli	FALSE
retli_38	4	*	0	0	*	*	0	0	*	retli_tr	3000	3026	retli	FALSE
retli_39	4	*	0	0	*	*	0	0	*	retli_tr	144983	145005	retli	FALSE
retli_40	4	*	0	0	*	*	0	0	*	retli_tr	28855	28875	retli	FALSE
retli_41	4	*	0	0	*	*	0	0	*	retli_tr	128008	128027	retli	FALSE
retli_42	4	*	0	0	*	*	0	0	*	retli_tr	42588	42608	retli	FALSE
retli_43	4	*	0	0	*	*	0	0	*	retli_tr	94904	94923	retli	FALSE
retli_44	4	*	0	0	*	*	0	0	*	retli_tr	128095	128122	retli	FALSE
retli_45	4	*	0	0	*	*	0	0	*	retli_tr	59450	59469	retli	FALSE
retli_46	4	*	0	0	*	*	0	0	*	retli_tr	90408	90427	retli	FALSE
retli_47	4	*	0	0	*	*	0	0	*	retli_tr	20159	20180	retli	FALSE
retli_48	4	*	0	0	*	*	0	0	*	retli_tr	7611	7631	retli	FALSE
retli_49	4	*	0	0	*	*	0	0	*	retli_tr	31312	31334	retli	FALSE
retli_50	4	*	0	0	*	*	0	0	*	retli_tr	88719	88746	retli	FALSE
